"Lags","Costos","NU","gamma","Correlaci??n"
5,16384,0.2,0.0078125,0.670305231934649
5,32768,0.2,0.0078125,0.668256286349483
5,32768,0.2,0.00390625,0.667707073841182
5,4096,0.2,0.0078125,0.667461085897659
5,16384,0.2,0.00390625,0.666884948160195
5,8192,0.2,0.00390625,0.666754363929926
5,32768,0.2,0.001953125,0.666600047202376
5,8192,0.2,0.0078125,0.666561092884587
5,2048,0.2,0.0078125,0.666532433421921
5,32768,0.2,0.00048828125,0.665277455652697
5,32768,0.2,0.000244140625,0.665259858595326
5,1024,0.2,0.0078125,0.665217337860751
5,512,0.2,0.015625,0.665152952319556
5,16384,0.2,0.001953125,0.664916653819379
5,16384,0.2,0.00048828125,0.664897143327994
5,2048,0.2,0.00390625,0.664825101850631
5,4096,0.2,0.00390625,0.664653335451297
5,1024,0.2,0.015625,0.664577720449806
5,32768,0.2,0.0001220703125,0.664328451709844
5,256,0.2,0.015625,0.664291901231099
5,16384,0.2,0.0009765625,0.664265997170234
5,16384,0.2,0.000244140625,0.664225811423168
5,8192,0.2,0.00048828125,0.664080071685577
5,32768,0.3,0.000244140625,0.663961998878713
5,8192,0.2,0.0009765625,0.663934498368786
5,4096,0.2,0.0009765625,0.663889635203205
5,4096,0.2,0.001953125,0.663874644742243
5,32768,0.2,0.0009765625,0.663831087010397
5,32768,0.2,6.103515625e-05,0.663803047820124
5,16384,0.3,0.000244140625,0.663771490438046
5,512,0.2,0.0078125,0.663667258817161
5,32768,0.3,0.0001220703125,0.66360527336309
5,8192,0.2,0.000244140625,0.663394718934789
5,16384,0.2,0.0001220703125,0.663336933708891
5,2048,0.2,0.0009765625,0.663331201945085
5,4096,0.2,0.00048828125,0.66329171648386
5,2048,0.2,0.001953125,0.663107650763582
5,2048,0.2,0.015625,0.662992903196581
5,1024,0.2,0.001953125,0.662932870905231
5,16384,0.3,0.00048828125,0.662897303559337
5,8192,0.3,0.00048828125,0.662883683569239
5,16384,0.3,0.0001220703125,0.662743528699032
5,512,0.2,0.00390625,0.662565895425046
5,1024,0.2,0.00390625,0.662514250735404
5,32768,0.3,6.103515625e-05,0.662472225795564
5,8192,0.2,0.001953125,0.662321856810436
5,8192,0.3,0.000244140625,0.661995181069919
5,4096,0.3,0.00048828125,0.661923566474917
