"Lags","Costos","NU","gamma","Correlaci??n"
2,128,0.8,0.0625,0.64213664911563
2,256,0.8,0.0625,0.641910320109591
2,4096,0.8,0.03125,0.641795833443741
2,512,0.8,0.0625,0.641724660875297
2,2048,0.8,0.03125,0.64162814532273
2,4096,0.7,0.03125,0.640789201646497
2,2048,0.7,0.03125,0.640686673012381
2,8192,0.8,0.03125,0.640631476863245
2,512,0.7,0.0625,0.640253520996234
2,32,0.9,0.5,0.640137800628416
2,512,0.9,0.0625,0.639986930062813
2,64,0.9,0.5,0.639772391131261
2,1024,0.8,0.03125,0.639325819821331
2,4096,0.9,0.03125,0.639081393661823
2,1024,0.7,0.03125,0.639055028221432
2,256,0.7,0.0625,0.638802783908245
2,8192,0.7,0.03125,0.638256047953527
2,256,0.9,0.0625,0.63821981138652
2,64,0.8,0.0625,0.638134276168002
2,32768,0.7,0.0078125,0.63764362914805
2,8192,0.9,0.03125,0.637445818256609
2,128,0.9,0.125,0.637426205001345
2,32768,0.8,0.015625,0.637402875424427
2,16384,0.8,0.015625,0.637308910340825
2,32768,0.7,0.015625,0.63730081092584
2,16384,0.7,0.015625,0.637207055578281
2,8192,0.8,0.015625,0.637184751564968
2,512,0.8,0.03125,0.637168123602228
2,8192,0.7,0.015625,0.637041054339192
2,64,0.9,0.125,0.63702935157519
2,32768,0.8,0.0078125,0.636998280890632
2,2048,0.9,0.03125,0.636988696944138
2,1024,0.9,0.0625,0.636919756132958
2,128,0.9,0.5,0.636903855404852
2,4096,0.9,0.25,0.636795894499645
2,4096,0.8,0.015625,0.636697159713646
2,8192,0.9,0.25,0.636637031275354
2,32,0.8,0.125,0.636622760066342
2,128,0.7,0.0625,0.636576670355698
2,512,0.7,0.03125,0.636550350858589
2,4096,0.7,0.015625,0.636201483987439
2,256,0.8,0.03125,0.636036298745825
2,16384,0.7,0.0078125,0.635862686487926
2,32768,0.9,0.015625,0.635788243530008
2,256,0.9,0.125,0.635773323587999
2,128,0.9,0.0625,0.635715845877262
2,16,0.9,0.5,0.635629596620098
2,128,0.8,0.5,0.635353562807604
2,32768,0.9,0.03125,0.635256081603066
2,64,0.9,0.25,0.635241024008997
2,64,0.8,0.5,0.634980283823004
2,2048,0.9,0.25,0.63495784640275
2,2048,0.9,0.0625,0.634947406350971
2,64,0.9,1,0.634852419433717
2,1024,0.8,0.0625,0.634844701595156
2,256,0.9,0.5,0.634791266276422
2,2048,0.8,0.015625,0.634784317919945
2,1024,0.7,0.0625,0.63473815661432
2,8192,0.9,0.015625,0.634721271620161
2,16384,0.8,0.0078125,0.634533764411577
2,16384,0.9,0.015625,0.634384040256935
2,32,0.9,0.25,0.634219598296439
2,512,0.9,0.125,0.634178606640842
2,128,0.7,4,0.634115543310285
2,512,0.9,0.25,0.63407011818117
2,2048,0.8,0.0625,0.634026543264914
2,64,0.8,0.125,0.633943469310949
2,1024,0.9,0.25,0.633902558753759
2,128,0.9,0.25,0.633815642250725
2,2048,0.7,0.015625,0.633754520586824
2,16384,0.9,0.03125,0.633727379431661
2,256,0.7,0.03125,0.633657012044577
2,16,0.8,2,0.633623053309459
2,16384,0.7,0.03125,0.633492019447871
2,1024,0.8,2,0.63346597323211
2,64,0.7,0.0625,0.633448210495675
2,128,0.8,4,0.633412862244291
2,1024,0.9,0.03125,0.633410608714273
2,4096,0.6,0.015625,0.633269979451564
2,1024,0.7,0.015625,0.633154992993239
2,8192,0.6,0.015625,0.633061141897198
2,256,0.9,0.25,0.63294817377769
2,256,0.7,4,0.632880066588282
2,64,0.8,4,0.632819605981331
2,128,0.8,1,0.632819477903864
2,4096,0.9,0.015625,0.632817411272087
2,256,0.8,4,0.632729799776636
2,8192,0.8,0.25,0.632568932049196
2,64,0.7,0.125,0.632488677326045
2,8,0.9,0.5,0.632449640688307
2,512,0.8,4,0.632439228762882
2,128,0.8,0.03125,0.632391671739411
2,128,0.6,4,0.632206385380772
2,256,0.6,4,0.632002075945722
2,32,0.9,0.125,0.631937938960947
2,64,0.9,0.0625,0.631921778551347
2,32768,0.7,0.5,0.631920685703283
2,8192,0.8,0.0078125,0.631920600780197
2,32,0.7,0.125,0.631887410273311
2,1024,0.6,0.03125,0.6318645897067
2,1024,0.8,0.015625,0.631844142751264
2,4096,0.8,0.25,0.631817621140389
2,32,0.8,0.5,0.631646493452002
2,32,0.9,1,0.631644217246321
2,16384,0.6,0.015625,0.631551585463946
2,512,0.8,0.015625,0.631513238733169
2,8192,0.7,0.0078125,0.631363981726426
2,512,0.9,0.03125,0.631335303969035
2,2048,0.6,0.015625,0.631264069503329
2,1024,0.9,0.125,0.631243550992341
2,128,0.9,4,0.63104052638137
2,16,0.7,2,0.631003120259344
2,2048,0.6,0.03125,0.630927522488388
2,32,0.7,2,0.630823498187493
2,4096,0.9,0.0625,0.630768456787224
2,64,0.6,4,0.630604085043599
2,256,0.9,0.03125,0.630585308492544
2,1024,0.6,2,0.630505522903657
2,2048,0.9,0.015625,0.630487934156044
2,16,0.9,0.25,0.630461996956743
2,8,0.8,2,0.630453983542958
2,64,0.9,4,0.630453299788664
2,256,0.9,4,0.630443127708934
2,16384,0.6,0.0078125,0.63039075358293
2,16,0.9,2,0.630356958299446
2,16,0.9,8,0.630334050192865
2,32768,0.6,0.0078125,0.630314000264204
2,32,0.8,8,0.630216100815072
2,64,0.8,8,0.630194736387373
