"Lags","Costos","NU","gamma","Correlaci??n"
1,4096,0.9,0.5,0.369457200470866
1,2048,0.9,0.0625,0.368846360609619
1,4,0.9,1,0.368543260147821
1,16,0.9,1,0.368527300206694
1,512,0.8,4,0.368223887634098
1,256,0.8,4,0.368074981676941
1,32,0.9,1,0.367879306729014
1,256,0.9,0.125,0.367814435511399
1,16384,0.9,0.03125,0.367559447903737
1,1024,0.9,0.0625,0.367262582905367
1,1,0.9,2,0.367218553794072
1,64,0.9,1,0.367204791624304
1,8,0.9,1,0.367095799300392
1,32,0.9,0.25,0.366816000061918
1,128,0.9,0.125,0.366740114886978
1,32768,0.9,0.03125,0.366620990968674
1,2,0.9,2,0.366611792757292
1,64,0.9,0.25,0.366534582009372
1,2048,0.9,0.5,0.366264842107347
1,512,0.9,0.125,0.366152609414065
1,0.5,0.9,2,0.365806494557085
1,16,0.9,0.5,0.365645892414254
1,128,0.9,0.5,0.365641244973171
1,512,0.9,0.5,0.365481057321235
1,256,0.9,0.5,0.365474278771481
1,8,0.9,0.5,0.365251626936714
1,16384,0.9,0.125,0.365213708996331
1,64,0.9,0.125,0.365073905633556
1,32,0.7,4,0.364996217795038
1,4096,0.9,0.0625,0.36483374475916
1,32768,0.9,0.0625,0.364811526825785
1,4,0.9,2,0.364806008839215
1,128,0.9,0.0625,0.36475375179752
1,0.5,0.9,4,0.364674756127195
1,8192,0.9,0.03125,0.364652182687596
1,1024,0.9,0.125,0.364584979594973
1,1024,0.9,4,0.364533633023864
1,8192,0.9,0.125,0.3644929537916
1,128,0.8,4,0.364400494725727
1,8192,0.9,0.0625,0.364318621374596
1,4,0.9,0.5,0.364265921872815
1,2048,0.7,4,0.364195330325726
1,4096,0.9,0.125,0.364135047342696
1,1024,0.9,0.5,0.364101444783063
1,16384,0.9,0.0625,0.364067237094958
1,64,0.9,0.5,0.364002248211028
1,8,0.9,0.125,0.363958368823942
1,32,0.9,0.5,0.363947460240756
1,16,0.9,0.25,0.363910511174357
1,2048,0.9,0.125,0.363906731017144
1,2,0.9,1,0.363887261453433
1,512,0.9,0.0625,0.363864948579476
1,2048,0.9,0.25,0.363822212644795
1,16384,0.9,0.015625,0.363747297626056
1,1024,0.7,4,0.363620630445619
1,2,0.9,0.25,0.363590482484348
1,32,0.9,0.125,0.363560363440619
1,128,0.9,0.25,0.363454509111631
1,2048,0.9,4,0.363452413046583
1,8,0.9,2,0.363400795399138
