"Lags","Costos","NU","gamma","Correlaci??n"
8,256,0.9,0.03125,0.665824986633511
8,1024,0.7,0.00390625,0.665791597504984
8,8,0.8,0.015625,0.665373140512116
8,32,0.7,0.015625,0.664167861651904
8,2048,0.9,0.015625,0.664162269457892
8,4096,0.9,0.015625,0.664020923466015
8,4,0.8,0.015625,0.664005878434864
8,512,0.9,0.03125,0.663976464752498
8,4,0.9,0.015625,0.663880454759967
8,16,0.8,0.015625,0.663864138944543
8,256,0.7,0.0078125,0.663525263300139
8,16,0.7,0.015625,0.663271104306732
8,32768,0.8,0.0078125,0.66277340119493
8,64,0.6,0.03125,0.662500148134037
8,128,0.7,0.0078125,0.662468402131765
8,2,0.9,0.03125,0.662409537876474
8,32,0.7,0.0078125,0.662373510216552
8,2048,0.7,0.00390625,0.66229824004619
8,1,0.9,0.03125,0.661954697887588
8,8192,0.9,0.015625,0.661915559092062
8,32,0.8,0.0078125,0.661822820807013
8,64,0.8,0.0078125,0.661687194171676
8,128,0.9,0.03125,0.66144912041476
8,64,0.7,0.0078125,0.661348557378363
8,512,0.7,0.00390625,0.661148246010578
8,4096,0.8,0.015625,0.661113524545643
8,32768,0.6,0.00390625,0.661077556874966
8,8,0.9,0.015625,0.660985972360066
8,16,0.8,0.0078125,0.660868539519953
8,4096,0.7,0.00390625,0.660657583983424
8,8,0.7,0.015625,0.660626398030248
8,8192,0.8,0.015625,0.660618587963167
8,256,0.5,0.03125,0.660564487995437
8,128,0.5,0.0625,0.66041128375948
8,16,0.7,0.0078125,0.660370817107108
8,256,0.6,0.015625,0.660338008419592
8,4096,0.7,0.001953125,0.660321512529204
8,128,0.6,0.03125,0.660283450818657
8,32768,0.9,0.0078125,0.660260685875972
8,8,0.8,0.0078125,0.660146190801812
8,16384,0.9,0.0078125,0.66012398338077
8,32,0.6,0.03125,0.660103208553006
8,4096,0.6,0.0078125,0.660057948523802
8,512,0.7,0.0078125,0.659894256083393
8,64,0.5,0.0625,0.659799272215996
8,32,0.6,0.0625,0.659788006798832
8,64,0.7,0.015625,0.659776461335103
8,128,0.8,0.0078125,0.659637392985408
8,8192,0.7,0.001953125,0.659566966323856
8,16,0.9,0.0078125,0.659417780322798
8,16384,0.8,0.0078125,0.659371097426381
8,256,0.5,0.0625,0.659315304762531
8,128,0.5,0.03125,0.65928715797208
8,16,0.6,0.0625,0.659273153897237
8,1024,0.9,0.015625,0.659263319440568
8,2048,0.8,0.015625,0.659259462098161
8,256,0.6,0.03125,0.659219117377193
8,32,0.8,0.00390625,0.659180380084767
8,512,0.6,0.03125,0.659166841338612
8,64,0.7,0.00390625,0.659125807273252
8,512,0.6,0.015625,0.659110071183877
8,32,0.9,0.0625,0.659097702330614
8,1024,0.6,0.03125,0.659064077323181
8,32,0.5,0.0625,0.658959234644979
8,32,0.9,0.0078125,0.658772693644139
8,1024,0.8,0.015625,0.658602669581121
8,64,0.6,0.0625,0.658549203213648
8,1,0.9,0.0625,0.658525090155025
8,256,0.9,0.00390625,0.658495286078506
8,512,0.8,0.00390625,0.658493723276152
8,2,0.9,0.0625,0.658390115732844
8,256,0.8,0.03125,0.658374456771851
8,2048,0.6,0.0078125,0.658361458542232
8,128,0.6,0.0625,0.658351126051319
8,8,0.6,0.0625,0.658329248729537
8,128,0.9,0.00390625,0.658328084899111
8,16384,0.7,0.001953125,0.658312295439663
8,16,0.9,0.0625,0.658070993095919
8,2048,0.7,0.001953125,0.657955941633182
8,1024,0.9,0.03125,0.657901383235211
8,4,0.7,0.015625,0.657866304180485
8,4096,0.8,0.001953125,0.657857357061559
8,1024,0.8,0.00390625,0.657826362041755
8,128,0.7,0.00390625,0.6578198048993
8,512,0.5,0.03125,0.657786442263479
8,256,0.8,0.00390625,0.657779783544463
8,256,0.7,0.001953125,0.657775499612244
8,8,0.9,0.0625,0.657761725077653
8,128,0.8,0.00390625,0.657592456067088
8,1024,0.9,0.001953125,0.65753603320316
8,16384,0.9,0.0009765625,0.657410935693486
8,16384,0.6,0.00390625,0.657407208004041
8,8,0.9,0.0078125,0.657324347452777
8,2,0.9,0.015625,0.657285124384799
8,8192,0.8,0.0078125,0.657277875467255
8,1024,0.7,0.0078125,0.657199054709659
8,4096,0.7,0.015625,0.657063588261772
8,4,0.9,0.0625,0.657020759031181
8,1024,0.8,0.001953125,0.65700970990226
8,64,0.9,0.0625,0.656994855282334
8,256,0.7,0.00390625,0.656961333602675
8,64,0.9,0.0078125,0.656960847380712
8,32768,0.7,0.0009765625,0.65695914655176
8,32,0.6,0.0078125,0.656936464729761
8,2048,0.9,0.001953125,0.656926631090347
8,2048,0.5,0.015625,0.656890045128006
8,4096,0.8,0.0009765625,0.656885654174723
8,16384,0.7,0.0009765625,0.656848236922867
8,8192,0.6,0.00390625,0.656721411405222
8,16384,0.8,0.0009765625,0.65668647748533
8,16384,0.9,0.015625,0.656661968220322
8,4,0.7,0.03125,0.65664972898691
8,2048,0.6,0.03125,0.656645009197078
8,16,0.9,0.015625,0.65646987303935
8,2,0.8,0.015625,0.656466705641222
8,8192,0.7,0.0009765625,0.656428763277175
8,8192,0.9,0.0009765625,0.65642027860553
8,4,0.9,0.03125,0.656402384554439
8,512,0.8,0.03125,0.656322196970004
8,1024,0.5,0.015625,0.656210402579774
8,1024,0.6,0.015625,0.65620582183267
8,8192,0.8,0.0009765625,0.656134432838511
8,128,0.7,0.015625,0.65612974885637
8,64,0.9,0.00390625,0.656120967693044
8,32768,0.7,0.001953125,0.656093126975651
8,512,0.7,0.001953125,0.656040659525729
8,8192,0.7,0.00390625,0.655982731511906
8,2,0.8,0.03125,0.655965576897561
8,32,0.7,0.00390625,0.655901708429343
8,2048,0.8,0.001953125,0.655866847523776
8,2048,0.7,0.0009765625,0.655761165423427
8,64,0.8,0.00390625,0.655642299913045
8,8192,0.8,0.001953125,0.655632555075863
8,512,0.9,0.015625,0.655588400921609
8,2,0.7,0.03125,0.655524873272151
8,1024,0.5,0.03125,0.655507106195569
8,4096,0.9,0.0009765625,0.655473114526838
8,512,0.8,0.001953125,0.655427113158391
8,16,0.6,0.03125,0.655416667331474
8,512,0.9,0.00390625,0.655399669716558
8,1024,0.6,0.0078125,0.655391559253945
8,4,0.8,0.03125,0.655372707377921
8,2048,0.5,0.03125,0.655363614909476
8,32768,0.8,0.0009765625,0.655231426956166
8,16,0.5,0.0625,0.655190789585975
8,512,0.9,0.001953125,0.655188184773425
8,1024,0.7,0.001953125,0.655182912452119
8,32,0.8,0.015625,0.6551779309274
8,32768,0.7,0.0078125,0.655176266219337
8,8192,0.7,0.015625,0.655151527681605
8,32768,0.9,0.00048828125,0.655114151896391
8,4096,0.5,0.03125,0.655025319420542
8,512,0.7,0.03125,0.654964644022562
8,64,0.9,0.03125,0.654944029932685
8,2048,0.7,0.015625,0.654838010850376
8,128,0.9,0.0078125,0.654774557519519
8,1024,0.7,0.0009765625,0.654767860300099
8,512,0.8,0.015625,0.654756999967331
8,8,0.7,0.0078125,0.654732291356898
8,8,0.9,0.03125,0.654699696060996
8,32768,0.9,0.0009765625,0.654626719199813
8,8,0.7,0.03125,0.654565579479955
8,256,0.8,0.0078125,0.654540280247069
8,128,0.6,0.015625,0.654446511552629
8,1,0.8,0.03125,0.654374446260911
8,16384,0.7,0.00390625,0.654319619398124
8,16,0.6,0.015625,0.654318012136312
8,8192,0.7,0.00048828125,0.654233823401449
8,1,0.8,0.0625,0.65423301670406
8,2048,0.8,0.0009765625,0.654152915292741
8,4,0.6,0.0625,0.654072469848335
8,256,0.8,0.001953125,0.654058477472214
8,2,0.8,0.0625,0.653999583017765
8,32768,0.8,0.00048828125,0.653995607706354
8,0.5,0.9,0.0625,0.65397770542731
8,64,0.6,0.015625,0.653967281678461
8,16384,0.8,0.00048828125,0.653860517792447
8,16,0.7,0.03125,0.653842492313756
8,32768,0.7,0.00048828125,0.653786710000381
8,4096,0.7,0.0009765625,0.653686976288632
8,1024,0.6,0.00390625,0.653610268381797
8,8,0.8,0.03125,0.653574375909248
8,4096,0.6,0.03125,0.653514342524854
8,16384,0.9,0.00048828125,0.65343433125578
8,128,0.6,0.0078125,0.653312723846041
8,16,0.6,0.0078125,0.653214489364767
8,32,0.6,0.015625,0.653173035179549
8,512,0.6,0.00390625,0.653157688213191
8,32,0.9,0.03125,0.653093852849924
8,32,0.7,0.03125,0.653072261437973
8,64,0.8,0.03125,0.653068321870474
8,256,0.6,0.0078125,0.653030944205999
8,128,0.8,0.03125,0.653009012329309
8,4096,0.9,0.001953125,0.652999525450782
8,8192,0.9,0.001953125,0.652892327511792
8,32768,0.7,0.00390625,0.652871793910915
8,128,0.8,0.001953125,0.65283688001038
8,2048,0.8,0.00390625,0.652824718325015
8,4096,0.6,0.015625,0.652778857627652
8,16,0.8,0.03125,0.652727133599522
8,256,0.6,0.0625,0.652684930596332
8,1,0.9,0.125,0.652616773358517
8,1024,0.8,0.03125,0.652534449091425
8,4,0.7,0.0625,0.652435201715918
8,2048,0.9,0.0009765625,0.652341220257158
8,1024,0.8,0.0009765625,0.652324252262618
8,4096,0.5,0.015625,0.652319719160461
8,32,0.9,0.015625,0.652304806445013
8,256,0.8,0.015625,0.652297410083485
8,8192,0.9,0.0078125,0.652272455874958
8,16384,0.8,0.001953125,0.652255779901222
8,32,0.9,0.00390625,0.652166254323735
8,16384,0.7,0.0078125,0.652098835816439
8,512,0.6,0.0078125,0.652082988806672
8,2,0.7,0.015625,0.651976045273155
8,256,0.7,0.015625,0.651943268824233
8,1024,0.9,0.00390625,0.65190233490898
8,16384,0.7,0.00048828125,0.651819127814575
8,2048,0.7,0.0078125,0.651738343678374
8,16,0.9,0.03125,0.651731293592982
8,4096,0.7,0.0078125,0.651649962591803
8,32768,0.6,0.001953125,0.651610739031389
8,128,0.7,0.001953125,0.651548235568956
8,1,0.7,0.03125,0.651540723618091
8,8,0.6,0.03125,0.651519150695378
8,4,0.8,0.0625,0.651283286005467
8,64,0.6,0.0078125,0.651236791799864
8,64,0.5,0.03125,0.651093879762189
8,4096,0.6,0.00390625,0.651089556012692
8,4,0.5,0.125,0.651068882180271
8,32,0.8,0.0625,0.65106308239931
8,32768,0.5,0.015625,0.650999373565512
8,256,0.9,0.001953125,0.650913688938319
8,8192,0.8,0.00048828125,0.65091076522242
8,512,0.7,0.015625,0.650842849916734
8,8,0.6,0.015625,0.650810238127643
8,128,0.9,0.0625,0.650774970342592
8,8,0.7,0.0625,0.650688449022596
8,32,0.8,0.03125,0.650668252985584
8,2048,0.6,0.00390625,0.650655124011133
8,64,0.7,0.03125,0.650648266900965
8,4,0.8,0.0078125,0.650502247851119
8,16384,0.7,0.015625,0.650498004349567
