"Lags","Costos","NU","gamma","Correlaci??n"
7,8192,0.9,0.015625,0.667558512408384
7,32768,0.9,0.015625,0.667338395657721
7,16384,0.9,0.015625,0.667275345875402
7,32,0.7,0.015625,0.666534811163045
7,1024,0.9,0.03125,0.665905057139187
7,512,0.9,0.03125,0.665004966730085
7,32,0.8,0.015625,0.664468125580853
7,8,0.8,0.015625,0.664461252618113
7,16,0.8,0.015625,0.664156561526335
7,4096,0.9,0.015625,0.663890552568579
7,32768,0.8,0.0078125,0.663835520664882
7,1024,0.8,0.03125,0.662544419396032
7,2048,0.9,0.03125,0.662530242696062
7,128,0.7,0.0078125,0.662450648931684
7,8192,0.7,0.001953125,0.662290594045388
7,512,0.7,0.0078125,0.662022146019883
7,1024,0.7,0.00390625,0.661972952125732
7,256,0.9,0.03125,0.661880307606217
7,8,0.7,0.03125,0.661802775313576
7,8192,0.8,0.015625,0.661799860268927
7,64,0.9,0.0625,0.66171965071172
7,16384,0.8,0.015625,0.661717326484598
7,256,0.7,0.0078125,0.661704029470608
7,128,0.9,0.0625,0.661555005553819
7,2048,0.7,0.00390625,0.661530612633316
7,8,0.7,0.015625,0.660906863556694
7,8,0.9,0.015625,0.660738321597136
7,2048,0.9,0.015625,0.6607120225106
7,16384,0.7,0.001953125,0.660133759475723
7,2048,0.6,0.015625,0.660110401455864
7,32768,0.6,0.00390625,0.660068736171372
7,16,0.7,0.015625,0.660067116103345
7,8192,0.6,0.03125,0.659840865495881
7,16,0.9,0.015625,0.659808456145473
7,4,0.9,0.015625,0.65976708936255
7,4096,0.6,0.03125,0.659716193234305
7,1024,0.8,0.00390625,0.659661511733872
7,128,0.7,0.015625,0.659609873861015
7,32768,0.8,0.015625,0.659533187051485
7,256,0.6,0.03125,0.65951937182654
7,4096,0.8,0.015625,0.659516158670389
7,1024,0.6,0.015625,0.659510459603033
7,32,0.7,0.0078125,0.659350287410246
7,2048,0.8,0.03125,0.659245044331497
7,64,0.8,0.0078125,0.65924410425194
7,128,0.8,0.0078125,0.659190423839298
7,4,0.8,0.015625,0.659129300411208
7,64,0.7,0.0078125,0.659094625636588
7,256,0.6,0.0625,0.6590771030908
7,128,0.6,0.0625,0.659072669864093
7,512,0.8,0.03125,0.65900920390994
7,2,0.9,0.03125,0.658977850524159
7,128,0.6,0.03125,0.658916235255999
7,4096,0.7,0.00390625,0.658906634266288
7,512,0.7,0.00390625,0.65880048462128
7,2048,0.8,0.015625,0.658710422897043
7,256,0.8,0.0078125,0.658651802041535
7,128,0.5,0.0625,0.658632990991882
7,64,0.5,0.0625,0.658567003895818
7,32768,0.9,0.0078125,0.658550192757562
7,4096,0.8,0.001953125,0.658460636473815
7,512,0.6,0.015625,0.658360869094497
7,16,0.8,0.0078125,0.65832753011228
7,1024,0.6,0.03125,0.658299965679468
7,16384,0.7,0.015625,0.658247991463347
7,512,0.5,0.03125,0.658201252218174
7,8192,0.7,0.00390625,0.65805928999976
7,32768,0.8,0.0009765625,0.658046441745014
7,128,0.9,0.0078125,0.658036029944144
7,2048,0.8,0.00390625,0.658034393467278
7,4,0.9,0.03125,0.658013036831769
7,16,0.7,0.03125,0.657965210879529
7,64,0.7,0.015625,0.657940561625383
7,32768,0.7,0.001953125,0.657885785167409
7,512,0.6,0.03125,0.657725361735368
7,256,0.5,0.0625,0.657679936090282
7,128,0.7,0.00390625,0.65764022793644
7,64,0.6,0.03125,0.657631865344642
7,128,0.9,0.03125,0.657576284982803
7,8192,0.8,0.001953125,0.65756438550011
7,64,0.9,0.0078125,0.657517169516009
7,32,0.8,0.0078125,0.657508104075684
7,2048,0.6,0.03125,0.657505741683973
7,4096,0.7,0.001953125,0.657408003909157
7,32,0.9,0.0078125,0.657395621407815
7,2048,0.8,0.001953125,0.65735423326
7,256,0.7,0.00390625,0.657199785243605
7,1,0.9,0.03125,0.657154011043803
7,8192,0.6,0.0078125,0.657136513705831
7,8,0.9,0.03125,0.657103650601196
7,4,0.8,0.03125,0.657062848641799
7,16,0.6,0.0625,0.6570453073962
7,16,0.7,0.0078125,0.656872336086328
7,2048,0.9,0.001953125,0.656854409448221
7,16384,0.9,0.0009765625,0.656830584868792
7,64,0.7,0.00390625,0.656814326174944
7,4096,0.9,0.03125,0.65675224949488
7,256,0.8,0.00390625,0.65669466566396
7,16384,0.8,0.001953125,0.656678066971733
7,512,0.8,0.00390625,0.656603052600211
7,4,0.7,0.03125,0.656581635091586
7,2,0.8,0.03125,0.656563833953311
7,2,0.9,0.0625,0.656501613946382
7,256,0.5,0.03125,0.656486639947193
7,16384,0.7,0.0009765625,0.656476867034161
7,32768,0.7,0.0009765625,0.65645481348097
7,8192,0.8,0.0009765625,0.656421184414645
7,4096,0.9,0.001953125,0.656404474669422
7,1024,0.7,0.0078125,0.65639811419824
7,512,0.7,0.001953125,0.65639649136282
7,64,0.6,0.0625,0.656394560071766
7,32768,0.7,0.015625,0.656360543677263
7,256,0.9,0.0625,0.656300718688465
7,512,0.9,0.00390625,0.656243218096176
7,1,0.9,0.0625,0.656237967337605
7,8192,0.9,0.0009765625,0.656150706403697
7,4,0.9,0.0625,0.655953736360708
7,64,0.8,0.015625,0.655951997901644
7,8,0.6,0.0625,0.655892772133124
7,16384,0.7,0.00390625,0.655768501724859
7,8,0.9,0.0625,0.655708176958344
7,32,0.9,0.015625,0.65567797179501
7,16384,0.8,0.0009765625,0.65564653502455
7,2048,0.7,0.0009765625,0.655619284842988
7,16384,0.8,0.0078125,0.655555929306067
7,32,0.9,0.0625,0.655549388180467
7,32,0.6,0.03125,0.65553940329992
7,32,0.7,0.03125,0.65547908161191
7,512,0.8,0.0078125,0.655451942636635
7,1024,0.7,0.001953125,0.655379438249003
7,8192,0.7,0.015625,0.655344943015604
7,32,0.6,0.0625,0.655338137544126
7,16384,0.6,0.03125,0.655329630896176
7,512,0.6,0.0625,0.655305068511069
7,16,0.9,0.0078125,0.655293042661484
7,32768,0.7,0.00390625,0.65528918369723
7,32768,0.9,0.0009765625,0.655244277687538
7,8,0.8,0.0078125,0.655108995598652
7,16384,0.6,0.015625,0.655086443315227
7,16384,0.6,0.00390625,0.654998802382155
7,1024,0.7,0.03125,0.654946842628918
7,32768,0.8,0.00048828125,0.654927155288847
7,8,0.8,0.03125,0.654889225573277
7,1024,0.9,0.00390625,0.654831193901751
7,256,0.8,0.03125,0.654793445471481
7,512,0.5,0.0625,0.654792709602005
7,256,0.7,0.015625,0.654777494542168
7,1024,0.8,0.015625,0.654761081444351
7,4096,0.6,0.0078125,0.654727384883893
7,1024,0.8,0.001953125,0.654681824583635
7,256,0.9,0.00390625,0.654647666034571
7,128,0.8,0.00390625,0.654619910830397
7,16,0.9,0.03125,0.654601796082756
7,32,0.6,0.0078125,0.654546308218534
7,4096,0.7,0.0009765625,0.654497759123353
7,2048,0.7,0.001953125,0.654386655829704
7,4096,0.5,0.015625,0.654350695414229
7,1,0.8,0.0625,0.654301167472689
7,32,0.6,0.015625,0.654186194982226
7,4096,0.8,0.0009765625,0.654168640736018
7,2048,0.7,0.0078125,0.65400579544117
7,2,0.8,0.0625,0.653979937243027
7,1024,0.9,0.001953125,0.653979608740432
7,8192,0.7,0.0009765625,0.65392841146538
7,128,0.8,0.0625,0.653869573846699
7,256,0.9,0.0078125,0.653853637887951
7,8192,0.5,0.015625,0.653815938155804
7,16,0.9,0.0625,0.653777801252903
7,256,0.7,0.001953125,0.653757656559494
7,8,0.8,0.0625,0.653736883636138
7,32,0.8,0.00390625,0.653731118321022
7,16,0.8,0.03125,0.653729203099845
7,8192,0.6,0.015625,0.653584492589854
7,1024,0.9,0.015625,0.65351557693044
7,1024,0.5,0.03125,0.65344848571446
7,32768,0.6,0.015625,0.653426267080757
7,64,0.8,0.0625,0.65337496895519
7,32768,0.8,0.001953125,0.653374300093991
7,64,0.8,0.00390625,0.653330786448085
7,32768,0.9,0.00048828125,0.653296499197086
7,4096,0.6,0.015625,0.653165131317931
7,16384,0.6,0.0078125,0.653105588643232
7,4,0.8,0.0625,0.652986206664841
7,32768,0.7,0.00048828125,0.652985573255162
7,16,0.6,0.015625,0.652966648793208
7,4096,0.9,0.0009765625,0.652961685347159
7,512,0.7,0.03125,0.652957484608489
7,32,0.5,0.0625,0.652928918900814
7,16384,0.7,0.00048828125,0.652897507610439
7,16384,0.8,0.00048828125,0.652890639708088
7,32768,0.7,0.0078125,0.652875772180663
7,512,0.8,0.001953125,0.652873763261413
7,64,0.9,0.015625,0.65275558384377
7,2,0.9,0.015625,0.652747669121815
7,2048,0.9,0.00390625,0.652623350372339
7,32,0.8,0.03125,0.652588071893056
7,2,0.9,0.125,0.65253164971316
7,64,0.6,0.0078125,0.652418968294736
7,128,0.8,0.03125,0.652393994408718
7,4096,0.7,0.015625,0.6523810370576
7,4096,0.7,0.0078125,0.652322012889763
7,256,0.6,0.015625,0.652313849522344
7,2048,0.6,0.0078125,0.652284532576407
7,128,0.9,0.00390625,0.652272202805718
7,64,0.6,0.015625,0.652188007251989
7,32,0.9,0.03125,0.652145008826126
7,8192,0.9,0.001953125,0.652134847058526
7,4096,0.8,0.00390625,0.652066031769823
7,1,0.9,0.125,0.651971843807806
7,4,0.6,0.0625,0.651952671942977
7,16384,0.7,0.0078125,0.651903364030534
7,8192,0.6,0.00390625,0.651876841034532
7,1,0.8,0.03125,0.65185905968764
7,32,0.9,0.125,0.651853166240143
7,128,0.6,0.015625,0.651812331376952
7,2048,0.6,0.00390625,0.651788919428704
7,32,0.8,0.0625,0.651721666514748
7,64,0.8,0.03125,0.651685631661298
7,2048,0.5,0.015625,0.651674491790634
7,4096,0.8,0.03125,0.651670008994195
7,1024,0.6,0.00390625,0.651654638869885
7,8192,0.7,0.00048828125,0.651564749921782
7,16,0.6,0.03125,0.651563387845698
7,512,0.9,0.001953125,0.651526006071467
7,8,0.9,0.0078125,0.651468941027867
7,8192,0.7,0.0078125,0.651424358679143
7,0.5,0.9,0.0625,0.651370629327919
7,2,0.7,0.03125,0.651354184625112
7,512,0.8,0.015625,0.651320401054249
7,128,0.6,0.00390625,0.651239296417595
7,64,0.9,0.03125,0.651165843841627
7,16,0.7,0.0625,0.651111887844314
7,2048,0.7,0.015625,0.651078409495223
7,128,0.5,0.03125,0.651043250907226
7,16,0.9,0.125,0.650926469556637
7,1024,0.7,0.015625,0.650914616726452
7,512,0.7,0.015625,0.650903097562848
7,2,0.7,0.0625,0.650848650619471
7,256,0.8,0.001953125,0.650830997959126
7,2048,0.7,0.03125,0.65080505331026
7,8,0.6,0.015625,0.650739401967608
7,16,0.8,0.0625,0.65064461874874
7,16384,0.9,0.0078125,0.650602061932585
7,2048,0.5,0.03125,0.650590568940004
7,64,0.9,0.00390625,0.650588853616208
7,16384,0.5,0.03125,0.650457327937535
7,32768,0.5,0.0078125,0.650457154502469
7,4,0.7,0.015625,0.650442263280716
7,1024,0.6,0.0078125,0.650436943308452
7,8192,0.8,0.0078125,0.650429370537211
7,8,0.7,0.0625,0.650407679748521
7,4,0.6,0.125,0.650325683491627
7,8192,0.5,0.03125,0.650276285383578
7,4096,0.5,0.03125,0.650255286875751
7,512,0.6,0.0078125,0.650210675454361
7,8,0.6,0.03125,0.650188313870396
7,2048,0.8,0.0009765625,0.650169106217327
7,4,0.7,0.0625,0.650155448512889
7,128,0.8,0.015625,0.650119571879199
7,128,0.9,0.015625,0.650078826055823
7,8192,0.6,0.001953125,0.650070409764969
7,8,0.9,0.125,0.649996173956224
7,128,0.6,0.0078125,0.649940401594878
7,4,0.9,0.125,0.649902916279683
7,16,0.6,0.0078125,0.64988073317433
7,32768,0.6,0.001953125,0.649832580315622
7,16384,0.9,0.001953125,0.649736778934234
7,16384,0.7,0.03125,0.649693263285394
7,256,0.8,0.015625,0.649634215450909
7,8,0.5,0.125,0.649623644281814
7,32,0.7,0.00390625,0.649527772517801
7,64,0.7,0.03125,0.649431068679124
7,32768,0.8,0.00390625,0.649355504040507
7,256,0.6,0.00390625,0.649352587916667
7,128,0.7,0.03125,0.649251921609754
7,256,0.8,0.0625,0.649204862428563
7,0.5,0.8,0.0625,0.64914183939442
7,4096,0.8,0.0078125,0.649042401863066
7,32768,0.6,0.0078125,0.649008797403096
7,1,0.7,0.0625,0.648976335724324
7,4096,0.6,0.00390625,0.648850642375096
7,8,0.7,0.0078125,0.648816862331663
7,512,0.9,0.0625,0.648809213575982
7,256,0.7,0.03125,0.64878970396608
7,512,0.9,0.0078125,0.64877135881536
7,8192,0.8,0.00390625,0.648750206515545
7,16384,0.6,0.001953125,0.648727096070665
7,16384,0.9,0.00048828125,0.648678609852159
7,0.5,0.9,0.125,0.648656767352526
7,64,0.6,0.00390625,0.6483092404142
