PAM,VFSC
87.05,64.59
86.67,64.29
86.28,63.96
85.90,63.60
85.52,63.24
85.14,62.87
84.77,62.50
84.41,62.15
84.06,61.82
83.72,61.51
83.39,61.25
83.10,61.06
82.82,60.93
82.55,60.84
82.31,60.79
82.08,60.78
81.90,60.85
81.75,60.96
81.58,61.08
81.40,61.20
81.18,61.30
80.77,61.23
80.31,61.13
79.87,61.06
79.48,61.04
79.19,61.13
79.21,61.58
79.32,62.10
79.49,62.66
79.70,63.20
79.87,63.61
79.96,63.80
80.05,63.93
80.12,64.02
80.17,64.10
80.21,64.23
80.22,64.43
80.23,64.62
80.25,64.80
80.29,64.96
80.35,65.06
80.45,65.12
80.59,65.14
80.77,65.14
80.99,65.11
81.27,65.06
81.61,65.00
82.01,64.91
82.45,64.81
82.94,64.69
83.53,64.50
84.19,64.27
84.86,64.07
85.53,63.94
86.17,63.89
86.74,64.13
87.24,64.58
87.66,65.07
88.00,65.59
88.24,66.08
88.24,66.31
88.08,66.42
87.89,66.48
87.69,66.54
87.53,66.61
87.66,66.87
87.88,67.17
88.12,67.48
88.35,67.77
88.55,68.03
88.62,68.13
88.63,68.21
88.58,68.27
88.46,68.36
88.26,68.52
87.95,68.90
87.58,69.28
87.17,69.62
86.73,69.87
86.29,69.92
85.85,69.55
85.43,69.06
85.03,68.49
84.67,67.90
84.36,67.31
84.18,66.95
84.05,66.63
83.97,66.36
83.92,66.13
83.90,65.93
83.91,65.78
83.94,65.67
83.97,65.59
84.00,65.53
84.01,65.51
83.97,65.51
83.89,65.53
83.78,65.56
83.66,65.60
83.51,65.64
83.24,65.60
82.97,65.55
82.74,65.55
82.59,65.60
82.59,65.76
82.95,66.23
83.40,66.74
83.91,67.22
84.45,67.63
84.91,67.77
85.28,67.62
85.59,67.35
85.85,67.00
86.05,66.59
86.13,66.21
86.13,65.84
86.07,65.47
85.95,65.10
85.78,64.74
85.57,64.48
85.32,64.25
85.04,64.02
84.74,63.79
84.41,63.54
84.08,63.16
83.74,62.75
83.39,62.34
83.04,61.95
82.69,61.60
82.34,61.41
82.00,61.31
81.67,61.26
81.34,61.24
81.03,61.23
80.73,61.18
80.46,61.09
80.20,61.02
79.94,60.96
79.68,60.93
79.36,60.94
79.00,60.99
78.66,61.10
78.39,61.27
78.20,61.50
78.19,61.86
78.36,62.33
78.64,62.87
79.03,63.45
79.51,64.07
80.16,64.78
80.89,65.51
81.67,66.20
82.47,66.82
83.26,67.34
83.94,67.55
84.57,67.62
85.14,67.60
85.64,67.48
86.04,67.30
86.29,67.09
86.46,66.84
86.57,66.56
86.61,66.26
86.61,65.96
86.60,65.74
86.56,65.50
86.49,65.25
86.39,64.95
86.26,64.61
86.15,64.08
86.01,63.49
85.84,62.89
85.65,62.29
85.42,61.73
85.10,61.31
84.73,60.98
84.34,60.70
83.94,60.46
83.55,60.26
83.23,60.08
82.95,59.93
82.67,59.79
82.38,59.66
82.08,59.54
81.66,59.36
81.16,59.14
80.67,58.96
80.24,58.84
79.89,58.81
79.79,59.00
79.85,59.35
80.00,59.76
80.22,60.23
80.47,60.71
80.68,61.12
80.89,61.50
81.13,61.88
81.40,62.24
81.69,62.58
82.05,62.91
82.44,63.21
82.84,63.48
83.24,63.73
83.63,63.96
83.96,64.13
84.27,64.28
84.55,64.40
84.81,64.51
85.04,64.61
85.25,64.75
85.43,64.89
85.58,65.00
85.69,65.07
85.77,65.09
85.77,64.96
85.71,64.71
85.63,64.43
85.53,64.14
85.43,63.85
85.36,63.63
85.32,63.50
85.30,63.39
85.29,63.33
85.30,63.30
85.36,63.37
85.45,63.54
85.55,63.69
85.63,63.79
85.70,63.81
85.70,63.54
85.62,62.92
85.51,62.23
85.36,61.56
85.18,60.97
84.97,60.65
84.71,60.79
84.43,61.05
84.15,61.39
83.86,61.76
83.60,62.06
83.35,62.16
83.13,62.25
82.94,62.34
82.78,62.44
82.66,62.60
82.59,62.83
82.56,63.10
82.59,63.41
82.67,63.75
82.86,64.17
83.16,64.67
83.50,65.16
83.86,65.64
84.22,66.06
84.53,66.37
84.77,66.51
84.98,66.57
85.16,66.57
85.33,66.51
85.47,66.39
85.60,66.25
85.71,66.06
85.81,65.84
85.88,65.58
85.93,65.28
85.95,64.92
85.95,64.53
85.93,64.14
85.90,63.77
85.86,63.43
85.84,63.22
85.84,63.12
85.80,63.04
85.74,62.97
85.62,62.88
85.42,62.72
85.07,62.40
84.67,62.06
84.24,61.73
83.80,61.43
83.35,61.18
82.99,61.18
82.64,61.24
82.30,61.34
81.95,61.46
81.61,61.58
81.15,61.53
80.67,61.43
80.24,61.37
79.90,61.39
79.69,61.51
79.82,61.96
80.18,62.62
80.65,63.38
81.20,64.22
81.79,65.10
82.34,66.05
82.87,66.99
83.38,67.87
83.86,68.65
84.29,69.29
84.61,69.44
84.85,69.37
85.05,69.19
85.20,68.94
85.32,68.68
85.40,68.65
85.45,68.74
85.49,68.85
85.52,68.96
85.57,69.05
85.67,69.07
85.83,69.01
86.01,68.89
86.19,68.71
86.36,68.46
86.52,68.13
86.62,67.63
86.70,67.07
86.73,66.47
86.73,65.85
86.68,65.23
86.54,64.68
86.35,64.16
86.10,63.67
85.81,63.18
85.48,62.71
85.08,62.20
84.60,61.62
84.10,61.09
83.63,60.66
83.19,60.34
82.82,60.21
82.65,60.54
82.55,61.00
82.51,61.56
82.51,62.17
82.56,62.80
82.63,63.28
82.72,63.73
82.84,64.14
82.97,64.51
83.11,64.83
83.24,65.03
83.37,65.17
83.50,65.27
83.62,65.33
83.74,65.37
83.86,65.45
83.97,65.53
84.07,65.58
84.16,65.58
84.22,65.54
84.25,65.39
84.26,65.14
84.23,64.83
84.18,64.48
84.10,64.09
83.98,63.68
83.81,63.26
83.62,62.81
83.40,62.33
83.15,61.83
82.89,61.27
82.60,60.59
82.29,59.92
81.99,59.32
81.69,58.80
81.39,58.44
81.15,58.56
80.92,58.79
80.70,59.07
80.47,59.37
80.25,59.63
79.93,59.49
79.62,59.28
79.35,59.07
79.13,58.90
79.00,58.82
79.12,59.10
79.32,59.47
79.55,59.89
79.81,60.33
80.05,60.76
80.19,61.09
80.30,61.38
80.37,61.60
80.40,61.75
80.39,61.79
80.28,61.65
80.15,61.42
79.99,61.13
79.81,60.79
79.62,60.41
79.50,60.07
79.37,59.72
79.24,59.35
79.09,58.97
78.94,58.58
78.75,58.17
78.54,57.75
78.31,57.35
78.07,56.96
77.82,56.59
77.55,56.26
77.26,55.97
76.97,55.72
76.70,55.52
76.44,55.38
76.22,55.31
76.06,55.32
75.93,55.39
75.83,55.53
75.76,55.72
75.71,55.96
75.63,56.21
75.58,56.52
75.60,56.91
75.69,57.39
75.90,58.01
76.36,58.97
76.89,59.98
77.47,60.98
78.07,61.92
78.62,62.68
79.03,63.04
79.41,63.26
79.78,63.36
80.12,63.37
80.46,63.32
80.81,63.28
81.16,63.19
81.51,63.06
81.86,62.89
82.21,62.70
82.56,62.45
82.92,62.18
83.29,61.91
83.68,61.64
84.08,61.40
84.55,61.22
85.09,61.14
85.63,61.08
86.18,61.05
86.70,61.02
87.18,61.00
87.58,60.96
87.93,60.91
88.23,60.84
88.46,60.77
88.63,60.69
88.70,60.50
88.69,60.28
88.62,60.09
88.50,59.94
88.34,59.85
88.12,59.89
87.84,60.10
87.55,60.41
87.27,60.80
87.03,61.28
86.85,61.86
86.79,62.61
86.80,63.41
86.89,64.22
87.06,65.01
87.34,65.72
87.84,66.15
88.40,66.52
89.01,66.86
89.64,67.20
90.26,67.55
90.75,68.16
91.20,68.80
91.61,69.41
91.96,69.98
92.25,70.48
92.43,70.67
92.53,70.69
92.58,70.64
92.60,70.56
92.58,70.48
92.59,70.51
92.65,70.73
92.68,70.95
92.66,71.16
92.58,71.33
92.42,71.42
92.06,71.32
91.63,71.13
91.14,70.86
90.60,70.53
90.03,70.12
89.44,69.65
88.84,69.13
88.24,68.55
87.66,67.91
87.10,67.21
86.61,66.30
86.17,65.26
85.78,64.28
85.45,63.43
85.19,62.78
85.03,62.64
84.98,63.12
84.99,63.78
85.04,64.57
85.13,65.39
85.22,66.05
85.31,66.39
85.40,66.67
85.50,66.92
85.60,67.17
85.69,67.48
85.79,67.93
85.87,68.38
85.93,68.80
85.96,69.18
85.94,69.46
85.83,69.54
85.68,69.55
85.51,69.50
85.33,69.37
85.15,69.20
84.98,68.87
84.82,68.53
84.69,68.21
84.59,67.94
84.53,67.75
84.60,67.93
84.73,68.25
84.87,68.64
85.02,69.04
85.16,69.42
85.21,69.69
85.21,69.87
85.18,69.95
85.12,69.92
85.02,69.76
84.85,69.23
84.63,68.48
84.43,67.69
84.25,66.94
84.12,66.28
84.17,66.11
84.32,66.20
84.52,66.40
84.76,66.65
85.02,66.92
85.27,66.99
85.51,67.01
85.74,67.00
85.96,66.98
86.15,66.95
86.28,66.97
86.39,66.99
86.47,66.98
86.52,66.96
86.54,66.88
86.53,66.65
86.49,66.41
86.44,66.18
86.37,65.99
86.29,65.86
86.24,66.11
86.17,66.43
86.09,66.78
85.99,67.11
85.87,67.37
85.68,67.31
85.42,66.94
85.15,66.53
84.91,66.13
84.69,65.80
84.56,65.70
84.57,66.06
84.63,66.53
84.73,67.05
84.88,67.59
85.06,68.09
85.24,68.27
85.43,68.40
85.66,68.50
85.92,68.58
86.22,68.68
86.55,68.90
86.92,69.15
87.32,69.40
87.75,69.65
88.21,69.88
88.75,70.00
89.31,70.11
89.87,70.23
90.41,70.36
90.92,70.55
91.34,70.92
91.72,71.31
92.05,71.68
92.34,72.00
92.57,72.20
92.75,72.20
92.88,72.10
92.96,71.93
92.99,71.70
92.95,71.40
92.83,71.04
92.67,70.65
92.46,70.25
92.23,69.85
91.97,69.47
91.70,69.22
91.42,69.01
91.13,68.83
90.84,68.68
90.55,68.57
90.30,68.47
90.10,68.39
89.89,68.34
89.68,68.30
89.45,68.28
89.20,68.27
88.83,68.25
88.43,68.25
88.02,68.26
87.62,68.30
87.22,68.36
86.87,68.46
86.57,68.61
86.29,68.77
86.05,68.95
85.85,69.13
85.67,69.27
85.52,69.34
85.42,69.43
85.38,69.56
85.42,69.77
85.57,70.12
85.88,70.66
86.24,71.27
86.66,71.94
87.11,72.63
87.56,73.34
88.02,74.04
88.46,74.70
88.89,75.31
89.28,75.83
89.59,76.14
89.85,76.30
90.05,76.38
90.22,76.39
90.34,76.36
90.39,76.31
90.39,76.25
90.37,76.18
90.32,76.09
90.27,76.01
90.26,75.99
90.30,76.01
90.31,76.03
90.28,76.02
90.19,75.98
90.00,75.84
89.63,75.57
89.21,75.27
88.73,74.94
88.23,74.60
87.71,74.28
87.19,74.00
86.68,73.75
86.19,73.55
85.72,73.39
85.30,73.29
84.95,73.30
84.64,73.36
84.38,73.47
84.17,73.64
84.01,73.88
83.92,74.19
83.87,74.52
83.85,74.87
83.86,75.20
83.90,75.46
83.96,75.64
84.02,75.78
84.08,75.89
84.13,75.98
84.14,76.05
84.09,76.13
84.02,76.17
83.93,76.19
83.82,76.17
83.69,76.08
83.51,75.86
83.34,75.64
83.17,75.43
83.03,75.27
82.92,75.19
82.88,75.45
82.88,75.76
82.95,76.10
83.07,76.43
83.26,76.71
83.64,76.74
84.09,76.67
84.57,76.54
85.06,76.38
85.53,76.20
85.86,75.99
86.12,75.78
86.36,75.63
86.59,75.54
86.82,75.54
87.13,75.93
87.46,76.44
87.79,76.98
88.11,77.48
88.42,77.88
88.65,77.77
88.86,77.58
89.05,77.37
89.23,77.18
89.42,77.22
89.63,77.57
89.82,77.97
90.00,78.38
90.15,78.74
90.26,78.88
90.33,78.81
90.36,78.65
90.35,78.40
90.29,78.06
90.17,77.63
89.99,77.13
89.76,76.60
89.48,76.04
89.17,75.48
88.80,74.95
88.39,74.46
87.95,74.02
87.50,73.64
87.04,73.32
86.60,73.10
86.23,73.16
85.87,73.28
85.54,73.45
85.22,73.64
84.92,73.82
84.63,73.83
84.35,73.76
84.10,73.65
83.86,73.54
83.65,73.42
83.43,73.32
83.21,73.25
83.03,73.21
82.91,73.22
82.87,73.30
82.94,73.46
83.20,73.78
83.57,74.18
84.02,74.64
84.55,75.15
85.15,75.70
85.79,76.30
86.48,76.91
87.23,77.53
88.04,78.13
88.94,78.68
89.96,79.11
91.01,79.51
92.05,79.91
93.06,80.31
93.97,80.82
94.75,81.48
95.43,82.12
96.03,82.67
96.52,83.10
96.88,83.18
97.12,82.93
97.25,82.53
97.28,82.03
97.22,81.47
97.05,80.93
96.76,80.45
96.40,79.99
96.00,79.58
95.55,79.23
95.10,78.96
94.72,79.05
94.33,79.18
93.94,79.34
93.54,79.47
93.14,79.53
92.73,79.32
92.31,78.79
91.87,78.19
91.42,77.57
90.95,76.95
90.46,76.39
89.92,76.22
89.36,76.12
88.78,76.05
88.18,75.96
87.57,75.82
86.90,75.38
86.19,74.69
85.51,73.99
84.87,73.33
84.29,72.76
83.84,72.44
83.59,72.56
83.42,72.81
83.33,73.17
83.31,73.59
83.35,74.03
83.43,74.39
83.55,74.76
83.69,75.12
83.84,75.46
83.99,75.79
84.11,76.08
84.21,76.34
84.30,76.56
84.36,76.74
84.40,76.86
84.36,76.85
84.31,76.81
84.24,76.76
84.15,76.72
84.07,76.70
84.02,76.91
83.98,77.13
83.93,77.37
83.87,77.60
83.79,77.79
83.67,77.85
83.52,77.85
83.36,77.79
83.19,77.68
83.00,77.53
82.82,77.30
82.64,77.02
82.46,76.72
82.27,76.41
82.09,76.08
81.83,75.73
81.52,75.37
81.27,75.06
81.08,74.83
81.00,74.69
81.16,74.80
81.63,75.21
82.20,75.70
