PAM,VFSC
82.83,76.23
83.50,76.75
84.12,77.17
84.61,77.31
85.05,77.38
85.45,77.41
85.80,77.40
86.08,77.36
86.25,77.36
86.36,77.36
86.42,77.36
86.43,77.37
86.41,77.40
86.39,77.50
86.37,77.68
86.32,77.86
86.25,78.05
86.15,78.21
86.02,78.35
85.82,78.34
85.57,78.25
85.30,78.15
85.03,78.03
84.74,77.91
84.48,77.81
84.26,77.78
84.06,77.78
83.87,77.81
83.68,77.88
83.51,78.00
83.33,78.25
83.17,78.57
83.01,78.90
82.86,79.22
82.73,79.49
82.57,79.63
82.37,79.55
82.22,79.43
82.13,79.31
82.14,79.21
82.28,79.17
82.67,79.35
83.18,79.59
83.80,79.86
84.51,80.18
85.31,80.52
86.23,80.90
87.18,81.26
88.15,81.60
89.11,81.88
90.02,82.05
90.77,81.94
91.46,81.75
92.08,81.53
92.62,81.30
93.08,81.09
93.42,81.17
93.67,81.38
93.84,81.59
93.95,81.77
93.99,81.88
93.99,81.84
93.95,81.39
93.86,80.83
93.74,80.22
93.59,79.57
93.41,78.92
93.22,78.36
93.01,77.91
92.79,77.51
92.56,77.19
92.31,76.94
92.05,76.80
91.71,76.91
91.38,77.09
91.08,77.32
90.84,77.58
90.68,77.85
90.72,77.97
90.90,78.02
91.16,78.08
91.47,78.14
91.83,78.24
92.22,78.47
92.63,78.84
93.03,79.23
93.40,79.61
93.73,79.95
93.97,80.20
94.05,80.20
94.06,80.15
93.99,80.05
93.84,79.92
93.61,79.77
93.26,79.73
92.85,79.69
92.38,79.65
91.89,79.60
91.37,79.54
90.87,79.44
90.40,79.29
89.94,79.13
89.49,78.96
89.08,78.79
88.69,78.63
88.36,78.52
88.08,78.42
87.84,78.33
87.63,78.25
87.47,78.18
87.37,78.11
87.34,78.04
87.35,77.98
87.37,77.93
87.42,77.90
87.46,77.88
87.48,77.93
87.48,78.01
87.47,78.09
87.44,78.18
87.40,78.25
87.27,78.24
87.02,78.11
86.79,77.99
86.64,77.92
86.59,77.92
86.75,78.06
87.33,78.53
88.04,79.08
88.83,79.68
89.66,80.30
90.47,80.90
91.11,81.36
91.71,81.78
92.27,82.17
92.78,82.53
93.25,82.89
93.65,83.30
93.99,83.66
94.29,83.96
94.54,84.16
94.74,84.24
94.88,83.92
94.97,83.49
95.02,82.99
95.03,82.47
94.99,81.96
94.91,81.65
94.80,81.49
94.64,81.38
94.44,81.29
94.20,81.21
93.92,81.13
93.61,80.99
93.25,80.84
92.84,80.67
92.38,80.47
91.86,80.23
91.17,79.84
90.40,79.40
89.64,78.96
88.90,78.56
88.24,78.23
87.77,78.10
87.52,78.19
87.36,78.35
87.27,78.56
87.23,78.79
87.22,78.97
87.19,79.06
87.19,79.15
87.20,79.24
87.22,79.33
87.24,79.45
87.23,79.66
87.23,79.87
87.23,80.07
87.23,80.26
87.25,80.43
87.29,80.50
87.35,80.53
87.42,80.52
87.50,80.47
87.59,80.39
87.70,80.25
87.84,80.04
87.98,79.82
88.11,79.60
88.22,79.41
88.31,79.25
88.28,79.20
88.21,79.21
88.14,79.28
88.07,79.42
88.01,79.62
88.03,79.97
88.12,80.43
88.22,80.93
88.32,81.43
88.40,81.93
88.39,82.36
88.30,82.71
88.20,83.00
88.13,83.24
88.10,83.42
88.22,83.43
88.45,83.32
88.74,83.20
89.06,83.12
89.40,83.12
89.71,83.54
90.01,84.15
90.31,84.78
90.62,85.36
90.93,85.84
91.28,85.82
91.65,85.53
91.99,85.12
92.31,84.62
92.58,84.06
92.73,83.61
92.78,83.23
92.78,82.86
92.73,82.48
92.65,82.12
92.53,81.74
92.41,81.34
92.26,80.95
92.10,80.57
91.92,80.22
91.72,79.90
91.53,79.66
91.35,79.49
91.15,79.34
90.92,79.22
90.65,79.09
90.34,78.97
89.87,78.74
89.36,78.50
88.84,78.27
88.33,78.06
87.83,77.87
87.39,77.72
87.02,77.60
86.71,77.54
86.47,77.56
86.32,77.67
86.26,77.89
86.32,78.29
86.49,78.80
86.77,79.41
87.17,80.12
87.71,80.95
88.50,82.01
89.38,83.11
90.30,84.18
91.22,85.17
92.09,86.00
92.80,86.43
93.43,86.71
93.98,86.85
94.44,86.88
94.79,86.80
94.95,86.64
95.01,86.40
94.98,86.12
94.87,85.81
94.68,85.48
94.43,85.24
94.12,85.05
93.77,84.86
93.38,84.65
92.96,84.42
92.54,84.15
92.20,83.83
91.83,83.46
91.43,83.04
90.97,82.57
90.45,82.05
89.68,81.32
88.77,80.48
87.85,79.64
86.95,78.83
86.10,78.10
85.44,77.53
85.12,77.27
84.90,77.12
84.74,77.09
84.61,77.15
84.49,77.30
84.19,77.60
83.85,77.96
83.51,78.33
83.17,78.68
82.84,78.99
82.53,79.06
82.25,78.92
82.01,78.73
81.81,78.52
81.67,78.30
81.58,78.10
81.69,78.16
81.84,78.26
82.03,78.38
82.24,78.50
82.45,78.62
82.62,78.68
82.73,78.66
82.80,78.62
82.85,78.56
82.87,78.48
82.85,78.38
82.71,78.20
82.54,78.02
82.37,77.85
82.22,77.72
82.10,77.64
82.07,77.70
82.14,77.88
82.27,78.11
82.47,78.39
82.75,78.69
83.11,79.01
83.62,79.29
84.19,79.58
84.81,79.87
85.46,80.16
86.14,80.46
86.83,80.72
87.51,80.98
88.18,81.26
88.81,81.56
89.39,81.90
89.88,82.46
90.28,83.09
90.60,83.69
90.86,84.20
91.03,84.59
91.11,84.59
91.08,84.21
90.98,83.69
90.80,83.10
90.55,82.47
90.23,81.86
89.77,81.60
89.27,81.38
88.73,81.21
88.18,81.07
87.63,80.96
87.15,80.87
86.77,80.79
86.41,80.71
86.07,80.60
85.73,80.47
85.40,80.29
85.00,79.88
84.59,79.37
84.19,78.86
83.81,78.38
83.45,77.96
83.14,77.68
82.87,77.79
82.66,77.98
82.50,78.21
82.40,78.46
82.36,78.67
82.43,78.63
82.57,78.46
82.78,78.29
83.05,78.13
83.36,78.03
83.75,78.11
84.18,78.35
84.63,78.64
85.08,78.99
85.51,79.37
85.88,79.84
86.16,80.37
86.40,80.85
86.59,81.25
86.74,81.52
86.83,81.50
86.84,80.96
86.82,80.28
86.74,79.51
86.64,78.69
86.49,77.88
86.31,77.34
86.10,76.93
85.87,76.59
85.63,76.31
85.38,76.10
85.15,75.97
84.98,76.04
84.82,76.14
84.66,76.23
84.48,76.28
84.29,76.25
84.06,75.99
83.78,75.41
83.47,74.76
83.15,74.07
82.82,73.36
82.48,72.67
82.04,72.09
81.60,71.59
81.22,71.16
80.92,70.84
80.72,70.64
80.77,70.66
81.05,70.88
81.45,71.21
81.96,71.61
82.58,72.07
83.31,72.55
84.13,73.03
85.00,73.49
85.87,73.92
86.71,74.29
87.47,74.52
88.07,74.55
88.60,74.52
89.07,74.43
89.48,74.30
89.81,74.19
90.07,74.17
90.27,74.12
90.42,74.04
90.53,73.92
90.61,73.74
90.71,73.38
90.77,72.96
90.79,72.49
90.76,71.99
90.68,71.47
90.52,70.95
90.29,70.44
89.99,69.95
89.62,69.46
89.18,68.99
88.65,68.56
87.91,68.19
87.14,67.85
86.38,67.53
85.65,67.25
84.98,66.98
84.60,66.72
84.37,66.48
84.21,66.26
84.12,66.08
84.06,65.92
83.99,65.86
83.91,65.87
83.84,65.89
83.76,65.89
83.69,65.85
83.60,65.67
83.47,65.30
83.34,64.89
83.21,64.47
83.07,64.05
82.94,63.70
82.82,63.56
82.70,63.46
82.58,63.38
82.46,63.32
82.33,63.26
82.19,63.08
82.04,62.84
81.88,62.62
81.71,62.41
81.51,62.24
81.30,62.17
81.06,62.29
80.80,62.45
80.51,62.63
80.20,62.81
79.86,62.97
79.34,62.91
78.81,62.81
78.32,62.72
77.92,62.69
77.64,62.73
77.71,63.01
78.01,63.45
78.45,63.97
79.02,64.56
79.70,65.21
80.45,65.98
81.28,66.78
82.17,67.55
83.11,68.25
84.09,68.84
85.14,69.12
86.20,69.19
87.25,69.12
88.25,68.94
89.19,68.66
89.94,68.31
90.54,67.89
91.05,67.43
91.48,66.93
91.83,66.40
92.14,65.87
92.42,65.37
92.64,64.87
92.78,64.38
92.85,63.90
92.83,63.44
92.69,62.99
92.46,62.56
92.15,62.18
91.76,61.86
91.30,61.61
90.74,61.49
90.05,61.55
89.34,61.67
88.61,61.82
87.90,61.98
87.23,62.12
86.74,62.08
86.30,62.01
85.93,61.94
85.62,61.87
85.36,61.82
85.21,61.87
85.12,61.97
85.07,62.10
85.04,62.24
85.04,62.39
85.02,62.56
84.97,62.75
84.91,62.91
84.86,63.03
84.80,63.10
84.73,63.07
84.67,62.78
84.60,62.43
84.51,62.04
84.41,61.62
84.28,61.21
84.11,60.90
83.89,60.66
83.66,60.47
83.41,60.31
83.14,60.19
82.88,60.13
82.68,60.17
82.46,60.24
82.21,60.32
81.92,60.40
81.57,60.46
81.02,60.38
80.32,60.20
79.62,60.03
78.97,59.89
78.39,59.81
78.05,59.88
78.03,60.16
78.12,60.52
78.29,60.93
78.51,61.38
78.72,61.86
78.83,62.36
78.94,62.84
79.05,63.28
79.15,63.67
79.24,63.99
79.34,64.09
79.44,64.10
79.52,64.03
79.58,63.88
79.63,63.66
79.62,63.34
79.56,62.95
79.48,62.53
79.39,62.10
79.29,61.68
79.19,61.31
79.12,61.08
79.04,60.89
78.96,60.73
78.86,60.60
78.74,60.50
78.58,60.40
78.38,60.30
78.17,60.22
77.94,60.15
77.71,60.10
77.46,60.05
77.18,59.98
76.93,59.94
76.69,59.93
76.50,59.95
76.36,60.03
76.35,60.27
76.41,60.56
76.51,60.87
76.66,61.18
76.84,61.48
77.06,61.65
77.30,61.77
77.55,61.86
77.80,61.93
78.03,61.97
78.21,62.04
78.34,62.11
78.45,62.14
78.53,62.14
78.58,62.10
78.59,61.96
78.57,61.67
78.51,61.34
78.44,61.01
78.35,60.69
78.25,60.41
78.21,60.36
78.16,60.37
78.08,60.40
77.96,60.42
77.80,60.42
77.47,60.25
76.98,59.93
76.49,59.60
76.03,59.28
75.64,59.02
75.44,58.91
75.57,59.07
75.79,59.30
76.06,59.55
76.35,59.82
76.62,60.04
76.70,60.09
76.75,60.09
76.76,60.05
76.74,59.96
76.70,59.84
76.63,59.68
76.54,59.48
76.44,59.25
76.32,58.99
76.19,58.71
