"Lags","Costos","NU","gamma","Correlaci??n"
6,8192,0.5,0.00390625,0.695453902435747
6,2048,0.5,0.0078125,0.695069109638586
6,8192,0.6,0.00390625,0.694286033256869
6,8192,0.5,0.0078125,0.692278482737807
6,4096,0.6,0.0078125,0.691410790190031
6,16384,0.5,0.00390625,0.691283466223394
6,2048,0.6,0.0078125,0.690927896413779
6,16384,0.6,0.00390625,0.690533591936798
6,4096,0.5,0.0078125,0.689927292685031
6,8192,0.6,0.0078125,0.688929256465948
6,32768,0.5,0.00390625,0.688783009668367
6,1024,0.6,0.0078125,0.688497134093992
6,1024,0.5,0.0078125,0.68786172132205
6,1024,0.7,0.0078125,0.687318793374322
6,8192,0.7,0.00390625,0.686460096385648
6,4096,0.4,0.0078125,0.68560686561287
6,4096,0.8,0.00390625,0.685271352445732
6,4096,0.6,0.00390625,0.684707010829677
6,512,0.8,0.0078125,0.684056779878768
6,32768,0.6,0.00390625,0.684053532615256
6,64,0.7,0.015625,0.683597708062493
6,512,0.3,3.0517578125e-05,0.683430591126668
6,256,0.4,3.0517578125e-05,0.683341494888043
6,2048,0.7,0.0078125,0.683283611019315
6,16384,0.5,0.0078125,0.683217703034866
6,16384,0.4,0.00390625,0.683181592948473
6,512,0.7,0.0078125,0.683111425173715
6,2048,0.1,3.0517578125e-05,0.683102530144528
6,2048,0.4,0.015625,0.682982256283677
6,1024,0.8,0.0078125,0.682940811962832
6,2048,0.4,0.0078125,0.682740962270301
6,256,0.5,3.0517578125e-05,0.682702726942887
6,1024,0.1,6.103515625e-05,0.682552360103712
6,128,0.7,0.015625,0.681970023275574
6,1024,0.2,3.0517578125e-05,0.68187259088427
6,8192,0.8,0.00390625,0.681854996717049
6,512,0.1,0.0001220703125,0.681518105695666
6,256,0.3,6.103515625e-05,0.681428477018021
6,512,0.5,3.0517578125e-05,0.681278117983662
6,512,0.6,3.0517578125e-05,0.681254029544721
6,512,0.8,3.0517578125e-05,0.681193050846801
6,512,0.7,3.0517578125e-05,0.681093763676834
6,32,0.7,0.03125,0.680977467239538
6,128,0.4,6.103515625e-05,0.680929652703531
6,256,0.7,0.015625,0.680602578160892
6,16384,0.7,0.00390625,0.680390926434642
6,512,0.9,3.0517578125e-05,0.680251181004323
6,128,0.5,6.103515625e-05,0.680144875024492
6,4096,0.7,0.00390625,0.680125423384141
6,256,0.7,3.0517578125e-05,0.679999321171098
6,512,0.2,6.103515625e-05,0.679781842678971
6,2048,0.2,3.0517578125e-05,0.679746439556325
6,2048,0.8,0.0078125,0.679608781803236
6,1024,0.3,3.0517578125e-05,0.679472916144891
6,512,0.4,3.0517578125e-05,0.679455129548126
6,128,0.6,0.015625,0.679428672662065
6,2048,0.5,0.015625,0.678843520451803
6,8192,0.4,0.00390625,0.678614591789796
6,1024,0.9,3.0517578125e-05,0.67860150539306
6,8192,0.4,0.0078125,0.678514497729186
6,1024,0.8,3.0517578125e-05,0.678418073439297
6,1024,0.7,3.0517578125e-05,0.678390174377692
6,1024,0.4,0.0078125,0.678307722570964
6,256,0.1,0.000244140625,0.67827337362701
6,256,0.6,0.015625,0.678255675061125
6,1024,0.6,3.0517578125e-05,0.678175758688023
6,256,0.6,3.0517578125e-05,0.677942143856366
6,256,0.8,0.0078125,0.677813268136503
6,256,0.5,6.103515625e-05,0.677526921758737
6,128,0.3,0.0001220703125,0.677526567263754
6,128,0.8,0.015625,0.677217282782501
6,512,0.3,0.0078125,0.677044948519041
6,4096,0.5,0.00390625,0.67696088041839
6,16384,0.8,0.00390625,0.676789291978669
6,128,0.3,0.015625,0.676760622890717
6,256,0.6,6.103515625e-05,0.676738700734016
6,16384,0.4,0.0078125,0.676694629011499
6,256,0.8,6.103515625e-05,0.676589725387042
6,256,0.7,6.103515625e-05,0.676558292583817
6,256,0.8,3.0517578125e-05,0.676440899347752
6,1024,0.2,6.103515625e-05,0.676312927864867
6,256,0.4,6.103515625e-05,0.676294974701103
6,1024,0.4,0.015625,0.676231842183944
6,512,0.3,6.103515625e-05,0.676178025825969
6,512,0.6,0.0078125,0.676008866709651
6,16,0.7,0.03125,0.676006887843474
6,64,0.3,0.015625,0.675899432218714
6,128,0.7,6.103515625e-05,0.67586508373395
6,256,0.9,6.103515625e-05,0.675838382812299
6,1024,0.5,3.0517578125e-05,0.675771816043901
6,64,0.4,0.0001220703125,0.675606443549688
6,32768,0.4,0.0078125,0.67552458460578
6,1024,0.3,0.0078125,0.675386592899132
6,256,0.9,3.0517578125e-05,0.675356741381821
6,256,0.2,0.0001220703125,0.675185369995243
6,512,0.5,0.0078125,0.675028514815231
6,1024,0.4,3.0517578125e-05,0.674958442307922
6,128,0.6,6.103515625e-05,0.674856375749569
6,64,0.4,0.015625,0.67447948457257
6,512,0.7,0.015625,0.673893209959953
6,64,0.5,0.0001220703125,0.673853931784228
6,2048,0.7,3.0517578125e-05,0.673566984954107
6,2048,0.8,3.0517578125e-05,0.673509805932658
6,128,0.8,6.103515625e-05,0.673383015479022
6,4096,0.7,0.0078125,0.673288981824945
6,2048,0.9,3.0517578125e-05,0.67313645832995
6,2048,0.3,3.0517578125e-05,0.67299737552321
6,4096,0.2,3.0517578125e-05,0.67298783245326
6,128,0.4,0.015625,0.67282173562721
6,32,0.8,0.03125,0.672780513207981
6,512,0.4,0.0078125,0.672362987633021
6,512,0.7,6.103515625e-05,0.672320957499225
6,128,0.9,6.103515625e-05,0.672253500591862
6,2048,0.6,3.0517578125e-05,0.672087667968967
6,8,0.7,0.03125,0.672073338424247
6,512,0.6,6.103515625e-05,0.671748752727567
6,64,0.8,0.015625,0.67173814244201
6,256,0.8,0.015625,0.671712439396692
6,512,0.4,6.103515625e-05,0.671672999190358
6,512,0.8,6.103515625e-05,0.671524920242637
6,2048,0.5,3.0517578125e-05,0.671479454735164
6,256,0.3,0.0001220703125,0.671273230928633
6,1024,0.9,0.0078125,0.671233979176662
6,512,0.6,0.015625,0.671175224521538
6,512,0.9,6.103515625e-05,0.671108615068486
6,64,0.7,0.03125,0.67093207203965
6,256,0.7,0.0078125,0.670816769977232
6,512,0.5,6.103515625e-05,0.670624543025171
6,64,0.3,0.000244140625,0.670599790790455
6,4,0.4,0.0625,0.670522490735766
6,2048,0.4,3.0517578125e-05,0.670481617860942
6,256,0.3,3.0517578125e-05,0.670432894849729
6,128,0.4,0.0001220703125,0.670322374342459
6,32768,0.7,0.00390625,0.670272299209237
6,16,0.3,0.03125,0.670253042701173
6,128,0.5,0.03125,0.67018347777852
6,128,0.5,0.0001220703125,0.670129381020484
6,32,0.7,0.015625,0.670079243793106
6,32,0.8,0.015625,0.670029838524364
6,4096,0.8,0.0078125,0.669846037919279
6,128,0.4,0.03125,0.669816149609561
6,512,0.2,0.0001220703125,0.66962877083537
6,512,0.5,0.015625,0.669530798647016
6,8192,0.9,0.00390625,0.669463205924679
6,2048,0.2,6.103515625e-05,0.669333594603864
6,256,0.3,0.015625,0.669302598915326
6,8,0.4,0.0625,0.66928797121696
6,8,0.8,0.0625,0.669006321427424
6,2,0.7,0.0625,0.66840490329939
6,64,0.6,0.0001220703125,0.668394251523618
6,4,0.7,0.0625,0.668158194019274
6,128,0.7,0.0001220703125,0.667998521956739
6,32,0.4,0.015625,0.6679482642382
6,4,0.8,0.0625,0.667939056274704
6,128,0.6,0.0001220703125,0.667876166561761
6,512,0.4,0.015625,0.66784130749807
6,16384,0.9,0.00390625,0.667720645054868
6,8,0.5,0.0625,0.667654731410386
6,64,0.7,0.0001220703125,0.667629398914977
6,512,0.1,0.000244140625,0.667619603090723
6,32768,0.8,0.00390625,0.667575246426854
6,128,0.3,6.103515625e-05,0.667407618879794
6,128,0.9,0.0001220703125,0.667311519171348
6,64,0.8,0.0001220703125,0.667104503265576
6,64,0.6,0.015625,0.667020167892064
6,128,0.1,0.00048828125,0.666852122822332
6,4096,0.7,3.0517578125e-05,0.666822234372628
6,16,0.8,0.03125,0.666707751771902
6,8,0.4,0.03125,0.666614947603776
6,2,0.4,0.0625,0.666597416620801
6,32,0.4,0.03125,0.666510030070013
6,128,0.8,0.0001220703125,0.666488444367285
6,16,0.4,0.03125,0.666374303101909
6,512,0.8,0.015625,0.666347823699015
6,4,0.5,0.0625,0.666331005027871
6,1024,0.3,6.103515625e-05,0.666113074843022
6,32,0.4,0.000244140625,0.666046446785536
6,1024,0.1,0.0001220703125,0.665898528106458
6,4096,0.6,3.0517578125e-05,0.665521207035142
6,128,0.6,3.0517578125e-05,0.665311166678098
6,64,0.9,0.0001220703125,0.665239111955957
6,4,0.6,0.0625,0.66523442735494
6,128,0.9,0.015625,0.665135259721791
6,128,0.2,0.000244140625,0.665082619456215
6,2048,0.1,6.103515625e-05,0.665037577173845
6,64,0.5,0.03125,0.664974437970174
6,64,0.8,0.03125,0.664933363470849
6,1024,0.7,6.103515625e-05,0.664868023261544
6,4096,0.4,0.015625,0.664837944075863
6,128,0.5,3.0517578125e-05,0.664826947958204
6,8192,0.2,3.0517578125e-05,0.664734459691302
6,4,0.4,0.03125,0.664689834446147
6,1024,0.6,6.103515625e-05,0.66468793262985
6,8,0.3,0.03125,0.664629459385682
6,64,0.6,0.03125,0.664506160915581
6,16384,0.6,0.0078125,0.664477677306599
6,4096,0.1,3.0517578125e-05,0.66441980508481
6,2048,0.9,0.0078125,0.6642476688777
6,512,0.3,0.015625,0.664204715111462
6,32,0.6,0.03125,0.66417428070396
6,1024,0.4,6.103515625e-05,0.664075034822723
6,4096,0.3,3.0517578125e-05,0.663964856942708
6,32,0.3,0.015625,0.663872841229919
6,1024,0.5,6.103515625e-05,0.66338481374509
6,4096,0.5,3.0517578125e-05,0.663355684759623
6,256,0.1,0.00048828125,0.663321053856987
6,64,0.3,0.0001220703125,0.663253622622672
6,4096,0.8,3.0517578125e-05,0.663198855752701
6,4096,0.9,3.0517578125e-05,0.663073831427656
6,256,0.4,0.0001220703125,0.663001987393739
6,8,0.6,0.0625,0.662928633781351
6,1,0.7,0.0625,0.662908048327975
6,512,0.9,0.0078125,0.662674436522409
6,4,0.9,0.0625,0.662553844710465
6,32,0.5,0.000244140625,0.662374177145658
6,64,0.6,6.103515625e-05,0.662311833223191
6,256,0.5,0.0001220703125,0.662048757562124
6,1024,0.8,6.103515625e-05,0.661967953884066
6,256,0.6,0.0001220703125,0.661959806395352
6,64,0.5,6.103515625e-05,0.661940481112362
6,8,0.8,0.03125,0.661892339322258
6,4096,0.4,3.0517578125e-05,0.661860920027198
6,1024,0.9,6.103515625e-05,0.661790452937733
6,2,0.9,0.0625,0.661585235428156
6,16,0.8,0.015625,0.661286795145683
6,128,0.3,0.000244140625,0.661201314635256
6,2,0.5,0.0625,0.660914874758009
6,8,0.7,0.0625,0.660739055723705
6,16,0.6,0.03125,0.660520651051971
6,2,0.8,0.0625,0.660462944807012
6,256,0.4,0.015625,0.660390101769824
6,256,0.7,0.0001220703125,0.660309292774172
6,512,0.2,3.0517578125e-05,0.660257467619486
6,64,0.9,0.015625,0.660212043669894
6,256,0.5,0.015625,0.660178869454764
6,4,0.5,0.03125,0.660024405488216
6,32768,0.9,0.00390625,0.660011048222375
6,8192,0.3,0.00390625,0.659888769631845
6,8,0.6,0.03125,0.659714805299487
6,256,0.2,6.103515625e-05,0.659711066136504
6,2,0.6,0.0625,0.659689475730895
6,4,0.3,0.0625,0.659663133574599
6,128,0.5,0.015625,0.659621385898939
6,8,0.9,0.0625,0.659617048604762
6,8192,0.7,0.0078125,0.658747539145814
6,256,0.8,0.0001220703125,0.658658057904547
6,32768,0.4,0.00390625,0.658637684803447
6,32,0.5,0.015625,0.658599793211547
6,512,0.3,0.0001220703125,0.65859048538284
6,32768,0.6,0.001953125,0.658579859869686
6,32,0.5,0.0001220703125,0.658574264879617
6,64,0.4,0.03125,0.65840049535094
6,256,0.2,0.000244140625,0.658382957523519
6,1024,0.3,0.015625,0.658261596453239
6,128,0.7,3.0517578125e-05,0.65819047526285
6,64,0.4,0.000244140625,0.658130259469311
6,256,0.9,0.0001220703125,0.657758884410914
6,32,0.6,0.0001220703125,0.657542279591117
6,1024,0.2,0.0001220703125,0.657411543013496
6,128,0.2,0.0001220703125,0.657374207823151
6,8,0.3,0.0625,0.657134285799566
6,2048,0.3,0.015625,0.657127640181633
6,4096,0.9,0.00390625,0.657042022526427
6,4096,0.2,6.103515625e-05,0.656843958133144
6,256,0.5,0.0078125,0.656758386452219
6,32,0.6,0.015625,0.656596308425772
6,256,0.6,0.0078125,0.656590997802108
6,1,0.5,0.125,0.656486567525927
6,128,0.8,3.0517578125e-05,0.656468172177545
6,2,0.5,0.03125,0.656463820498977
6,32,0.6,0.000244140625,0.656405786753471
6,32,0.3,0.00048828125,0.656372842528001
6,16384,0.2,3.0517578125e-05,0.656365038965227
6,4,0.7,0.03125,0.656171487328764
6,512,0.2,0.015625,0.655916472170444
6,1024,0.1,3.0517578125e-05,0.655811977312312
6,32,0.3,0.03125,0.655669239301193
6,64,0.5,0.000244140625,0.655455978924107
6,32,0.3,0.000244140625,0.655264813921662
6,1024,0.2,0.015625,0.655121637162783
6,32,0.9,0.03125,0.655103721911403
6,2048,0.3,6.103515625e-05,0.655011833026273
6,64,0.9,0.03125,0.654976915486043
6,64,0.1,0.0009765625,0.654951360601472
6,4096,0.4,0.00390625,0.654918606294845
6,32,0.8,0.000244140625,0.654866894814595
6,4,0.6,0.03125,0.654815136971341
6,8192,0.4,3.0517578125e-05,0.654754854970667
6,32768,0.5,0.0078125,0.654714505829994
6,1,0.6,0.0625,0.654648014049214
6,0.5,0.8,0.125,0.654643669981097
6,512,0.1,6.103515625e-05,0.654635606057647
6,16,0.4,0.015625,0.654632532158492
6,1,0.8,0.0625,0.654609726901064
6,32768,0.8,0.001953125,0.654536444503477
6,16,0.9,0.03125,0.654479831979393
6,64,0.2,0.00048828125,0.654439726190242
6,2,0.6,0.03125,0.654427108882357
6,64,0.7,6.103515625e-05,0.654410789971012
6,64,0.5,0.015625,0.65440164508662
6,4,0.8,0.03125,0.654324524550781
6,8192,0.6,3.0517578125e-05,0.654324376515647
6,1,0.6,0.125,0.654302244026414
6,16,0.4,0.0625,0.654206238481364
6,2048,0.8,0.00390625,0.654150067860482
6,2048,0.4,6.103515625e-05,0.654144106544614
6,16,0.3,0.0625,0.65410832595509
6,16,0.7,0.015625,0.653975974359286
