"Lags","Costos","NU","gamma","Correlaci??n"
5,16384,0.9,0.03125,0.665138239078211
5,32768,0.8,0.015625,0.662105200197876
5,8192,0.9,0.03125,0.661555609762524
5,8192,0.8,0.03125,0.660967402894966
5,16384,0.8,0.03125,0.660722794625669
5,2048,0.9,0.0625,0.660673827201875
5,16384,0.7,0.03125,0.660451074318732
5,32768,0.9,0.015625,0.660083878087562
5,256,0.7,0.015625,0.659226165939428
5,1024,0.7,0.0078125,0.658776516715707
5,128,0.7,0.015625,0.658753761576234
5,1024,0.9,0.0625,0.658714358813543
5,64,0.7,0.015625,0.658585349378826
5,4096,0.8,0.03125,0.658464130925724
5,4096,0.9,0.03125,0.658443137982216
5,32768,0.9,0.03125,0.65816808894942
5,32,0.7,0.03125,0.657986425238801
5,8192,0.7,0.00390625,0.657704682733241
5,32,0.7,0.015625,0.657544752002561
5,512,0.7,0.0078125,0.657398155543453
5,512,0.9,0.0625,0.657301975684519
5,2048,0.7,0.0078125,0.657243645157826
5,16,0.8,0.03125,0.657079105168873
5,16384,0.8,0.015625,0.657060690150657
5,8,0.8,0.03125,0.6569892400175
5,128,0.8,0.015625,0.656695426387753
5,64,0.8,0.015625,0.656656046788222
5,4096,0.7,0.00390625,0.656054073636357
5,256,0.9,0.0625,0.656011795852126
5,2048,0.8,0.03125,0.655979073495483
5,256,0.8,0.015625,0.655815061350786
5,1024,0.8,0.0078125,0.655653682593955
5,4096,0.9,0.0625,0.655383013846425
5,256,0.7,0.0078125,0.655206675273306
5,16,0.7,0.03125,0.655200502100169
5,32,0.8,0.015625,0.655200457837999
5,16,0.7,0.0625,0.655189447477184
5,32768,0.7,0.015625,0.655098849381685
5,16,0.9,0.03125,0.655077408607163
5,1024,0.8,0.0625,0.655069294735414
5,2048,0.7,0.00390625,0.654859096765308
5,8192,0.7,0.03125,0.654530885232931
5,32768,0.7,0.001953125,0.654485931127696
5,2048,0.9,0.03125,0.654468590829135
5,2048,0.9,0.00390625,0.654409358999196
5,2048,0.8,0.0625,0.654324703608853
5,8,0.7,0.03125,0.654292742929452
5,128,0.9,0.015625,0.65427039013772
5,16384,0.9,0.001953125,0.654079408811051
5,512,0.8,0.0078125,0.654035941411081
5,32768,0.9,0.001953125,0.654016337222283
5,16384,0.6,0.015625,0.653835984890242
5,128,0.9,0.0625,0.653780967186112
5,8,0.9,0.03125,0.653769196173723
5,128,0.7,0.0078125,0.653655216263444
5,512,0.8,0.0625,0.653544189667895
5,8192,0.8,0.00390625,0.653511216739694
5,32,0.8,0.03125,0.653424317246406
5,32,0.9,0.015625,0.653345217083747
5,64,0.9,0.015625,0.653324959579861
5,8,0.7,0.0625,0.653256237270718
