"Lags","Costos","NU","gamma","Correlaci??n"
7,8192,0.5,0.00390625,0.697611319033189
7,32768,0.5,0.00390625,0.697565775772415
7,16384,0.5,0.00390625,0.696321632027338
7,4096,0.5,0.00390625,0.695852061870703
7,32768,0.6,0.00390625,0.695490855407447
7,1024,0.5,0.015625,0.694201784181218
7,8192,0.4,0.0078125,0.694163136439612
7,4096,0.4,0.0078125,0.693724148028969
7,2048,0.6,0.0078125,0.693222864961673
7,4096,0.6,0.00390625,0.693163893973879
7,16384,0.6,0.00390625,0.693022033700084
7,8192,0.6,0.00390625,0.691935586049984
7,1024,0.6,0.0078125,0.690791883016349
7,4096,0.7,0.00390625,0.690704158892539
7,512,0.4,0.0078125,0.690669023613279
7,4096,0.6,0.0078125,0.690262844995058
7,512,0.4,0.015625,0.68997724266949
7,4096,0.4,0.00390625,0.689964618183395
7,1024,0.4,0.0078125,0.689804414761447
7,1024,0.7,0.0078125,0.688775190686637
7,8192,0.7,0.00390625,0.688586108450906
7,2048,0.4,0.0078125,0.68825593839671
7,2048,0.7,0.0078125,0.687894282232812
7,512,0.5,0.0078125,0.687826974213208
7,4096,0.8,0.00390625,0.6877890463602
7,1024,0.8,0.0078125,0.687648040455085
7,512,0.7,0.0078125,0.687559574474004
7,1024,0.4,0.015625,0.687299615567278
7,1024,0.5,0.0078125,0.687068649529406
7,512,0.6,0.0078125,0.686851963146488
7,256,0.4,0.015625,0.686632139785702
7,512,0.8,0.0078125,0.686087948293975
7,16384,0.4,0.0078125,0.686020722426658
7,256,0.6,0.015625,0.684735114486797
7,16384,0.7,0.00390625,0.684670226586477
7,512,0.6,0.015625,0.683326438131779
7,8192,0.8,0.00390625,0.683095487370538
7,8192,0.4,0.00390625,0.683070474857265
7,32768,0.6,0.001953125,0.682483374392011
7,32768,0.7,0.001953125,0.682414085808646
7,32768,0.5,0.001953125,0.682245421072823
7,32768,0.8,0.001953125,0.682144537221316
7,8192,0.6,0.0078125,0.681441336443308
7,256,0.8,0.0078125,0.681000314452082
7,2048,0.8,0.0078125,0.680861866503932
7,1024,0.1,3.0517578125e-05,0.680475903595877
7,256,0.7,0.0078125,0.680231427462103
7,128,0.7,0.015625,0.68013665868499
7,512,0.3,0.0078125,0.680136520398409
7,64,0.7,0.015625,0.680061268822877
7,512,0.1,6.103515625e-05,0.67982507485015
7,2048,0.8,0.00390625,0.679505747569545
7,16,0.7,0.03125,0.679384457547363
7,128,0.3,0.015625,0.679137396199194
7,256,0.3,3.0517578125e-05,0.67903109187271
7,256,0.4,0.0078125,0.678694376166637
7,128,0.5,3.0517578125e-05,0.678646957233305
7,256,0.1,0.0001220703125,0.678210259208301
7,128,0.3,6.103515625e-05,0.677636342276925
7,256,0.6,3.0517578125e-05,0.677487603626768
7,1024,0.2,3.0517578125e-05,0.67742170062327
7,256,0.7,3.0517578125e-05,0.677322908030849
7,256,0.5,3.0517578125e-05,0.677281917484409
7,128,0.8,0.015625,0.677152467507735
7,512,0.3,3.0517578125e-05,0.676900762767351
7,16384,0.8,0.00390625,0.67685234719996
7,64,0.5,6.103515625e-05,0.676752288365792
7,256,0.8,3.0517578125e-05,0.676636631778085
7,32,0.8,0.03125,0.676514954098069
7,256,0.6,0.0078125,0.676385208468
7,256,0.7,0.015625,0.676238159267095
7,512,0.9,3.0517578125e-05,0.676064553551731
7,128,0.4,3.0517578125e-05,0.676023666144408
7,128,0.6,3.0517578125e-05,0.675968872631275
7,256,0.9,3.0517578125e-05,0.675947968068204
7,64,0.5,0.03125,0.675730498736989
