"Lags","Costos","NU","gamma","Correlaci??n"
3,256,0.7,0.03125,0.651400134613245
3,16384,0.9,0.125,0.650736989342395
3,1024,0.7,0.015625,0.650434604802614
3,16384,0.8,0.125,0.650294614946913
3,16384,0.9,0.0625,0.650248902405152
3,128,0.7,0.03125,0.649476271362023
3,512,0.7,0.03125,0.649150670736867
3,512,0.8,0.03125,0.648955047659338
3,512,0.7,0.015625,0.648936505908525
3,8192,0.9,0.125,0.648875671519576
3,128,0.8,0.03125,0.648635491069518
3,256,0.8,0.03125,0.64841334561541
3,4096,0.7,0.0078125,0.647845471796254
3,2048,0.7,0.015625,0.647721435179657
3,4096,0.7,0.015625,0.64755125710297
3,256,0.9,0.03125,0.647431783594163
3,1024,0.8,0.015625,0.647396401089531
3,512,0.9,0.03125,0.647383117118105
3,16,0.8,0.0625,0.647314134354167
3,64,0.8,0.03125,0.647306407848425
3,2048,0.8,0.015625,0.647006367692205
3,32768,0.9,0.00390625,0.64688880256123
3,8192,0.9,0.0078125,0.646857098094971
3,8192,0.7,0.0078125,0.646779385251577
3,2048,0.7,0.0078125,0.646633149661166
3,4096,0.9,0.125,0.646593297706471
3,8192,0.8,0.0078125,0.646317506519542
3,512,0.8,0.015625,0.646206130438306
3,32,0.7,0.0625,0.646083057405659
3,128,0.9,0.0625,0.646072336990961
3,4096,0.8,0.015625,0.646017394040103
3,2048,0.9,0.015625,0.646015125140289
3,1024,0.9,0.015625,0.646000925072756
3,256,0.7,0.015625,0.645795378222566
3,16384,0.9,0.0078125,0.64555054978741
3,16384,0.8,0.0078125,0.645538896168427
3,32,0.8,0.0625,0.645297853364166
3,4096,0.9,0.0078125,0.645259968588248
3,64,0.9,0.0625,0.645251772261075
3,1024,0.9,0.03125,0.645220952674371
3,4096,0.9,0.015625,0.645204846946643
3,64,0.7,0.0625,0.645136439224985
3,16384,0.7,0.0078125,0.645064452514832
3,128,0.9,0.25,0.645057938161539
3,2048,0.9,0.0078125,0.644874043664178
3,32768,0.8,0.00390625,0.644758209594755
3,128,0.9,0.03125,0.644657759764872
3,4096,0.8,0.0078125,0.644584035816068
3,256,0.8,0.015625,0.644582984242985
3,512,0.9,0.015625,0.644535850051097
3,8,0.9,0.5,0.644398090650537
3,8192,0.8,0.125,0.644363673103903
3,16384,0.9,0.00390625,0.644296102289676
3,32768,0.8,0.125,0.644230749311973
3,32768,0.7,0.00390625,0.644124398240977
3,16384,0.7,0.00390625,0.644099426355508
3,16,0.9,0.5,0.644009353156543
3,256,0.9,0.25,0.643904209710705
3,64,0.8,0.0625,0.643858483904873
3,8192,0.8,0.015625,0.643721451560737
3,256,0.9,0.0625,0.643499373662717
3,1024,0.7,0.03125,0.6434295910824
3,64,0.9,0.25,0.643412602409188
3,2048,0.8,0.0078125,0.643354970486047
3,1024,0.8,0.03125,0.643274247026831
3,64,0.7,0.03125,0.643205753848984
3,32768,0.9,0.0078125,0.642954795404839
3,512,0.9,0.25,0.642838197476058
3,64,0.9,0.125,0.6428232419167
3,32,0.8,0.03125,0.642808346391984
3,1024,0.7,0.0078125,0.642661824886301
3,8192,0.9,0.015625,0.642542706674657
