"Lags","Costos","NU","gamma","Correlaci??n"
4,32768,0.9,0.03125,0.664660911459146
4,32768,0.9,0.0625,0.661064913804054
4,32768,0.8,0.03125,0.659266749034208
4,16384,0.9,0.0625,0.65647332332593
4,512,0.7,0.015625,0.655867186545475
4,64,0.7,0.03125,0.655389386349038
4,8192,0.9,0.0625,0.655326869701565
4,256,0.7,0.015625,0.655235249206864
4,32768,0.8,0.0625,0.655035001357596
4,128,0.7,0.015625,0.654971162810451
4,128,0.7,0.03125,0.654688907031927
4,4096,0.9,0.0625,0.653974679278859
4,32,0.7,0.03125,0.653540456735004
4,8192,0.8,0.0625,0.653103420421344
4,2048,0.9,0.0625,0.653012314563282
4,2048,0.7,0.0078125,0.652966132221519
4,32768,0.7,0.03125,0.652493415869428
4,256,0.8,0.015625,0.652464124633383
4,512,0.8,0.015625,0.652309112359858
4,1024,0.7,0.0078125,0.652151886608195
4,32,0.8,0.03125,0.651557388011107
4,2048,0.9,0.125,0.651498931725618
4,64,0.9,0.03125,0.651434458528347
4,64,0.7,0.015625,0.651384706667054
4,512,0.7,0.0078125,0.651367779998493
4,16384,0.7,0.00390625,0.651262189618602
4,2048,0.8,0.0078125,0.651139124577482
4,32,0.9,0.03125,0.650951050272169
4,4096,0.9,0.00390625,0.650934362644405
4,16,0.7,0.0625,0.650860809712304
4,512,0.9,0.125,0.650682465381159
4,1024,0.8,0.015625,0.650670588560668
4,1024,0.8,0.0078125,0.650640549495697
4,256,0.9,0.015625,0.650612196397416
4,1024,0.9,0.125,0.650573803086635
4,64,0.8,0.03125,0.650445611976043
4,8192,0.9,0.00390625,0.650411755625188
4,1024,0.7,0.015625,0.650261963415723
4,2048,0.9,0.0078125,0.650199083557448
4,1024,0.9,0.0078125,0.650187613294812
4,128,0.8,0.015625,0.650170441013289
4,16384,0.9,0.00390625,0.650122280429072
4,16,0.7,0.03125,0.650080905207903
4,4096,0.8,0.0078125,0.650069621046214
4,32,0.7,0.0625,0.650066092501506
4,512,0.9,0.015625,0.650055186522481
4,4096,0.7,0.0078125,0.649824333097566
4,16,0.8,0.03125,0.649808609537547
4,128,0.9,0.015625,0.649736616762936
4,64,0.8,0.015625,0.649732221652659
4,4096,0.9,0.125,0.64959283612078
4,4096,0.9,0.0078125,0.649453679714582
4,16384,0.7,0.03125,0.649387778554322
4,256,0.9,0.125,0.649138813386379
4,4096,0.8,0.0625,0.649137920476504
4,8192,0.7,0.00390625,0.649125804583478
4,128,0.8,0.03125,0.648908054977686
4,128,0.9,0.03125,0.648723480695232
4,128,0.9,0.125,0.648701134760665
4,512,0.8,0.0078125,0.648695722011935
4,4096,0.7,0.00390625,0.648542310088761
4,1024,0.9,0.0625,0.648526395095245
4,4096,0.8,0.125,0.648352761379059
4,512,0.9,0.0078125,0.648338307833683
4,16384,0.9,0.03125,0.648224595297437
